index,method,lambda_reg,epsilon_bound,is_pareto,is_best_compromise,compromise_score,residual_norm,roughness_norm,reference_error_norm,reference_mse,reference_psnr,reference_ssim,fidelity_error,noise_penalty,scalarized_or_primary_objective,cg_info
0,epsilon,1.0,14.754909013607275,True,False,1.0,4.26181029371584,3.841201552380376,17.115061511123056,0.004469685829613126,23.497230019822688,0.6038333983567324,18.16302697962229,14.75482936600941,18.16302697962229,0
1,epsilon,0.3957834474829525,23.96341070768274,True,False,0.5404696009399149,3.518322524390593,4.893283355364102,15.940586455782107,0.0038772933434183337,24.114713404401655,0.653680639739645,12.378593385634195,23.944221995883364,12.378593385634195,0
2,epsilon,0.13597985579403557,38.91891520411976,True,False,0.2602507067730936,2.970746023148292,6.237831834792772,14.725702369117565,0.0033088121072972826,24.803278937893186,0.7035554026284289,8.825331934051391,38.91054599915416,8.825331934051391,0
3,epsilon,0.039385737589095283,63.208112532155205,True,False,0.1298450945654925,2.6381199082188465,7.948275123779774,13.531467884731164,0.002793893785331892,25.537901083582263,0.7475295591322417,6.959676650140615,63.17507744329638,6.959676650140615,0
4,epsilon,0.009806757216915776,102.65613696896364,True,False,0.1340558969094143,2.4796591773946535,10.131591956992887,12.538523289192495,0.002398903904321634,26.19987148721927,0.7761683133788472,6.1487096360375295,102.64915558300295,6.1487096360375295,0
5,epsilon,0.0025764217047051156,166.7235744783486,True,True,0.2187734734401423,2.41675386357125,12.901070143438583,12.193417276632484,0.002268667982209467,26.44229058123486,0.7753876710834214,5.8406992370865645,166.43761084592242,5.8406992370865645,0
6,epsilon,0.0008982347043119016,270.77533898671163,True,False,0.36661914174248417,2.3867846002499418,16.432029421158095,12.817922753895878,0.0025070059772467302,26.008446305881826,0.743061163251058,5.696740727990274,270.01159089780526,5.696740727990274,0
7,epsilon,0.0004016183608701806,439.76554865005124,True,False,0.6067510902837442,2.369840529948131,20.91251808298134,14.34462096783725,0.003139772807478577,25.031017761395557,0.6908264899437011,5.616144137384839,437.33341257102154,5.616144137384839,0
8,epsilon,0.00020385531258606808,714.2221241535274,True,False,1.0,2.3621455648423644,26.668782028148485,16.710748662565543,0.004261003431143738,23.704881160867583,0.6268858323701764,5.5797316695044525,711.2239348648956,5.5797316695044525,0
9,epsilon,0.00011297077333267837,1159.9663597939214,False,False,,2.3631325916322523,33.92483132058821,19.871536402927497,0.006025359482007945,22.20017037318224,0.5574062026183098,5.584395645634565,1150.8941801303629,5.584395645634565,0
10,epsilon,6.446471008975656e-05,1883.8984544874324,False,False,,2.382507110766717,43.387706623469015,24.029914563497826,0.008810986235488965,20.54975477211272,0.48335219535346097,5.67634013285397,1882.493086044217,5.67634013285397,0
11,epsilon,3.8063478502010975e-05,3059.634753072203,False,False,,2.4531819642778783,55.248611466301845,29.157548666393822,0.012972452457170472,18.86977912278929,0.41037359859995853,6.018101749858269,3052.4090689543796,6.018101749858269,0
12,epsilon,2.2806090714436574e-05,4969.145125581735,False,False,,2.645420006962032,70.21139320552668,35.43276786256635,0.019157120336952438,17.176697726980883,0.34005679177106285,6.998247013234997,4929.6397358610775,6.998247013234997,0
13,epsilon,1.3531811276512747e-05,8070.376130451163,False,False,,3.1688880561516313,89.74030922443137,43.29174121500052,0.02859763881571312,15.436698232219658,0.2720866415897611,10.041851512420465,8053.323099696562,10.041851512420465,0
14,epsilon,7.95103616460837e-06,13107.077624208256,False,False,,4.391099952261118,114.42961436556101,52.68516793398106,0.042354231570919595,13.731031932177304,0.2107366483708473,19.28175879074759,13094.136643851007,19.28175879074759,0
15,epsilon,4.581597669054491e-06,21287.171882708368,False,False,,6.672149203892707,145.63082576450935,63.66613193427488,0.061849614799079834,12.086630008231385,0.15748014002650146,44.51757499900609,21208.33741285288,44.51757499900609,0
16,epsilon,2.4899260029678814e-06,34572.44244338884,False,False,,10.414608175575868,185.69570968135596,76.31678070772067,0.08887101772446174,10.512398463920201,0.11197296645640495,108.4640634507717,34482.89659406244,108.4640634507717,0
17,epsilon,1.1463626662674234e-06,56149.01702712056,False,False,,16.055779602255456,236.81291800251734,90.7850467154819,0.1257617905751378,9.004512878491504,0.07333102748709262,257.7880586362024,56080.358132867,257.7880586362024,400
18,epsilon,1e-08,91191.47767110553,False,False,,27.30677356340415,356.5972823369771,117.16569972474143,0.2094696226804852,6.78878949589323,0.029704530193262347,745.6598824430278,127161.62177011777,745.6611540592454,400
19,epsilon,1e-08,148103.85007849862,False,False,,27.30677356340415,356.5972823369771,117.16569972474143,0.2094696226804852,6.78878949589323,0.029704530193262347,745.6598824430278,127161.62177011777,745.6611540592454,400
